Descripción;Referencia;Unidad;Costo;Envío;Impuestos;Margen op.;Unidad2;Costo final unitario;C. Cable 1;C. Cable 2;C. Cable 3;C. Cable 4;C. Cable 42;C. con 1 1;C. Con 1 2;C. Con 1 22;C. Con 1 3;C. Con 2 1;C. Con 2 2;C. Con 2 22;C. Con 2 3;C. Otros 1;;;;
Conectores;SC/UPC, SM, Value;und;0,12;0,025;0,0145;0,01914;1;0,1786;0;0;0;0;0;0;1;0;0;0;1;0;0;;;Cable; USD -   ;
;SC/APC, SM, Value;und;0,13;0,025;0,0155;0,02046;1;0,1910;0;0;0;0;0;0;0;0;0;0;0;0;0;;;Conectores; USD 5,09 ;
;SC/UPC, MM, Value;und;0,14;0,025;0,0165;0,02178;1;0,2033;0;0;0;0;0;0;1;1;0;0;1;1;0;;;MO y otros; USD 1,14 ;
;LC/UPC, SM, Value;und;0,14;0,025;0,0165;0,02178;1;0,2033;0;0;0;0;0;1;1;0;0;1;1;0;0;;;Duplex condicional; USD 6,23 ;
;LC/APC, SM, Value;und;0,14;0,025;0,0165;0,02178;1;0,2033;0;0;0;0;0;1;0;0;0;1;0;0;0;;;TOTAL; USD 12,46 ; COP 53.581,59 
;LC/UPC, MM, Duplex, Value;und;0,29;0,03;0,032;0,04224;1;0,3942;0;0;0;1;0;1;1;1;0;1;1;1;0;;;;;
;LC/APC, MM, Duplex, Value;und;0,29;0,03;0,032;0,04224;1;0,3942;0;0;0;1;0;1;0;1;0;1;0;1;0;;;Qty profit <6;0%;150%
;LC/MM, SM, Value;und;0,15;0,025;0,0175;0,0231;1;0,2156;0;0;0;0;0;1;0;1;0;1;0;1;0;;;Qty profit >= 6 y <120;0%;110%
;FC/UPC, SM, Value;und;0,15;0,025;0,0175;0,0231;1;0,2156;0;0;0;0;0;0;1;0;0;0;1;0;0;;;Qty profit >= 120 y <1200;0%;90%
;FC/APC, SM, Value;und;0,15;0,025;0,0175;0,0231;1;0,2156;0;0;0;0;0;0;0;0;0;0;0;0;0;;;Qty profit >= 1200 y <12000;0%;80%
;FC/UPC, MM, Value;und;0,15;0,025;0,0175;0,0231;1;0,2156;0;0;0;0;0;0;1;1;0;0;1;1;0;;;Qty profit >= 12000 y <120000;0%;73%
;ST/UPC, SM, Value;und;0,19;0,04;0,023;0,03036;1;0,2834;0;0;0;0;0;0;1;0;0;0;1;0;0;;;Qty profit >= 120000;55%;55%
;ST/APC, SM, Value;und;;0,04;0,004;0,00528;1;0,0493;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;ST/UPC, SM, Value;und;;0,04;0,004;0,00528;1;0,0493;0;0;0;0;0;0;1;0;0;0;1;0;0;;;TRM; COP 4.300,00 ;
;MTRJ-SM, Value;und;;0,04;0,004;0,00528;1;0,0493;0;0;0;0;0;0;0;0;0;0;0;0;0;;;Subtotal; USD 19,31 ;
;MTRJ-MM, Value;und;;0,04;0,004;0,00528;1;0,0493;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;
;MU/UPC, SM, Value;und;;0,025;0,0025;0,0033;1;0,0308;0;0;0;0;0;0;1;0;0;0;1;0;0;;;Total unitario; COP 83.051,46 ;
;MU/APC, SM, Value;und;;0,025;0,0025;0,0033;1;0,0308;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;DIN METAL, SM, Value;und;;0,025;0,0025;0,0033;1;0,0308;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;E2000, SM, Value;und;0,7;0,025;0,0725;0,0957;1;0,8932;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;E2000/APC, SM, Value;und;0,7;0,025;0,0725;0,0957;1;0,8932;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;SC/UPC, SM, Premium;und;0,95;0,025;0,0975;0,1287;1;1,2012;0;1;0;0;0;0;1;0;0;0;1;0;0;;;;;
;SC/APC, SM, Premium;und;1,2;0,025;0,1225;0,1617;1;1,5092;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
